trial_id,variant,quantity,view,model,axis,case_count,pooled_relative_l2,mean_relative_l2,median_relative_l2,p90_relative_l2,worst_relative_l2,mean_rmse,mean_mae,mean_nrmse,mean_r2,mean_peak_amplitude_relative_error,mean_peak_time_abs_error_s
R2_LHS_02,physics,velocity,incremental,S10,Y,64,0.2663840297075394,0.2932509354397619,0.2887173324125739,0.38182046511985834,0.41574759362451397,0.0024711946616037435,0.0010234056841551286,0.0053518136734550074,0.9099898999633241,0.09484377716403886,5.721484374999999
R2_LHS_02,physics,velocity,incremental,S10,Z,64,0.2918932069053313,0.2969147555886805,0.29699423115423607,0.3345491355062672,0.3901814898932996,0.0021024488897074156,0.0009530093267569417,0.0035105341042030664,0.9104788386510589,0.11799266482145619,1.6859374999999999
R2_LHS_02,control,displacement,incremental,S10,X,64,0.07624095651181415,0.08261470450195404,0.07316120465598111,0.13829356596767317,0.1568673196825587,8.891598682434302e-05,4.9863201810411895e-05,0.006260492289112464,0.9920411066090953,0.020673294849824744,0.128125
R2_LHS_02,control,displacement,incremental,B2,X,64,0.06497085990036514,0.0741550185731855,0.07178993203579533,0.10808340636735056,0.13800193841239855,7.840233852058239e-05,4.10382675934579e-05,0.005622063810895545,0.993800620714067,0.017805254760139073,0.12773437499999996
R2_LHS_02,control,displacement,incremental,S10,Y,64,0.05345456748399125,0.053084576952442786,0.04811853957413159,0.07463361572810008,0.1099655482401367,0.00074072350879231,0.0003756144460417423,0.005672016746067011,0.9967340586372417,0.0441908430128516,0.16796875000000028
R2_LHS_02,control,displacement,incremental,B2,Y,64,0.02975722127091477,0.030940231891614763,0.030381373818217587,0.04085088857359957,0.043751501193503226,0.00042818517686313236,0.00023261409468883627,0.003300902711313956,0.9989527964083144,0.01615540614037033,0.018749999999999656
R2_LHS_02,control,displacement,incremental,S10,Z,64,0.04855900215676976,0.047390247070968554,0.03847817658775278,0.08869711826220142,0.10776774921923364,0.0006990028516912466,0.00042454471857944465,0.010049428845476957,0.9941905485567644,0.04976458904664077,0.20703125000000008
R2_LHS_02,control,displacement,incremental,B2,Z,64,0.04524229056213449,0.04974898960344576,0.05039492858444661,0.0688108835654065,0.07918174644291572,0.0007256060741069488,0.0004760855267943444,0.010356749125576839,0.9950270796371884,0.014021018674928594,0.2402343750000002
R2_LHS_02,control,displacement,total,S10_HYBRID,X,68,0.02082955346563044,0.0637245041160215,0.039030092943004635,0.14371032944632867,0.3819923878453377,0.00010692208284273932,5.612685957922966e-05,0.005257001735946156,0.9905102168520706,0.018425299210094278,0.2084558823529412
R2_LHS_02,control,displacement,total,B2,X,68,0.01814026582695039,0.0556123915459219,0.030282538145069343,0.12245315969919927,0.3819923878453377,9.480009953441817e-05,4.6729377667381214e-05,0.004634425635153428,0.9923782463791182,0.013368644876060319,0.17610294117647066
R2_LHS_02,control,displacement,total,S10_HYBRID,Y,68,0.039235218424190144,0.03552813026403322,0.02976145948019452,0.06314243486635282,0.07898729989912788,0.0008349403908953316,0.0004215893006648237,0.005342950343025531,0.9982235121865816,0.033056624659143816,0.45036764705882376
R2_LHS_02,control,displacement,total,B2,Y,68,0.02493080638792909,0.023622556344310732,0.021546622418989504,0.03729696768613176,0.0457175689909722,0.000547718153764175,0.000287857075751486,0.003637628778665955,0.9992419762069493,0.015641679784466435,0.3330882352941173
R2_LHS_02,control,displacement,total,S10_HYBRID,Z,68,0.04240927782581531,0.040014083356042195,0.03166471145222429,0.07679740233088914,0.09415163617148202,0.0007613295999830697,0.0004627117605266618,0.010336080356786294,0.9924189643897772,0.036424373448486834,0.38933823529411754
R2_LHS_02,control,displacement,total,B2,Z,68,0.0371812033501441,0.03995341345936107,0.040204832860819585,0.055133474835479535,0.06418285574239974,0.0007536197583237025,0.0004993448802811815,0.010185268563248749,0.9939952970509864,0.016757218506566012,0.3415441176470588
R2_LHS_02,control,velocity,incremental,S10,X,64,0.5264731932244444,0.501201099307892,0.45172128468908945,0.6739954332398109,0.720845270265527,0.0005943994858318806,0.0003262627049519396,0.010253918229221923,0.7359232822818267,0.1089058379961079,5.303125
R2_LHS_02,control,velocity,incremental,S10,Y,64,0.26943766613306747,0.29541249139557213,0.29176107804870477,0.38344973190052195,0.42046920174782854,0.002497267319360709,0.0010319210286028762,0.005412322922821652,0.909028681764279,0.1139297756645693,6.196093749999999
R2_LHS_02,control,velocity,incremental,S10,Z,64,0.2950552827815424,0.29838214145766084,0.29690378750838,0.334474197359616,0.38459903838798154,0.002119590599825849,0.0009741009171909468,0.0035337727336054474,0.909716445601114,0.1243683311649128,2.020703125
R6_LHS_04,physics,displacement,incremental,S10,X,64,0.06893173453148176,0.07706342161668016,0.07474630441489526,0.1085743851838459,0.12659165200913694,8.300307727309917e-05,4.642761253950135e-05,0.005840366727575147,0.9934740767920909,0.026164843345930465,0.16679687499999996
R6_LHS_04,physics,displacement,incremental,B2,X,64,0.06497085990036514,0.0741550185731855,0.07178993203579533,0.10808340636735056,0.13800193841239855,7.840233852058239e-05,4.10382675934579e-05,0.005622063810895545,0.993800620714067,0.017805254760139073,0.12773437499999996
