outer_fold,inner_fold,component,rank,train_cases,validation_cases,pooled_relative_l2_floor,median_case_relative_l2_floor,p90_case_relative_l2_floor,worst_case_relative_l2_floor,selection_use
2,3,v_Y_vertical,128,40,14,0.0002784710652484094,0.00026790048226117545,0.00032396795717841713,0.00032649395776784205,INNER_ONLY
2,3,w_Z_longitudinal,16,40,14,0.003653093538837123,0.004652974400132283,0.005124644198658962,0.005323682415790173,INNER_ONLY
2,3,w_Z_longitudinal,32,40,14,0.0009746069818672631,0.0013979051048959858,0.001503644534588071,0.0015289346247277043,INNER_ONLY
2,3,w_Z_longitudinal,64,40,14,0.0002768234835270697,0.00035726315642734495,0.0004264139727412582,0.0004453442344260288,INNER_ONLY
2,3,w_Z_longitudinal,96,40,14,0.00024820308462519786,0.00032288992301455057,0.00038132742752945855,0.0004088355302406875,INNER_ONLY
2,3,w_Z_longitudinal,128,40,14,0.00022882390767184176,0.0002928098301536188,0.0003536557712023395,0.000377234992019819,INNER_ONLY
3,0,u_X_transverse,16,41,14,0.0094322014868972,0.01006520670826028,0.057579833759052686,0.07067004063012139,INNER_ONLY
3,0,u_X_transverse,32,41,14,0.0035872302201749094,0.003218329712122624,0.016249766228657016,0.022572909338889908,INNER_ONLY
3,0,u_X_transverse,64,41,14,0.0006694289766528034,0.0006393882198935301,0.003497722413762064,0.007229251823090997,INNER_ONLY
3,0,u_X_transverse,96,41,14,0.0002830646988583763,0.00026887543304415036,0.0015888480803245173,0.003810577277803765,INNER_ONLY
3,0,u_X_transverse,128,41,14,0.00020201401386533895,0.00021348210409294615,0.0011051747147993913,0.0026273509943758586,INNER_ONLY
3,0,v_Y_vertical,16,41,14,0.01407675371845446,0.014484675628864158,0.01551640355499099,0.016425627104831846,INNER_ONLY
3,0,v_Y_vertical,32,41,14,0.00504593653241601,0.0050831791209246975,0.005524733135978436,0.0056490577079135506,INNER_ONLY
3,0,v_Y_vertical,64,41,14,0.0012177623724267464,0.001160222546682019,0.0014312629471278458,0.0014547728667066967,INNER_ONLY
3,0,v_Y_vertical,96,41,14,0.00040336269356732043,0.0003897528287431924,0.0004712229400105019,0.000503991357648994,INNER_ONLY
3,0,v_Y_vertical,128,41,14,0.0002900414814708794,0.00028388383957855183,0.00033444246701543073,0.0003569602703733261,INNER_ONLY
3,0,w_Z_longitudinal,16,41,14,0.0034736159486506,0.0033849251070220973,0.005081970355063631,0.005104337461309963,INNER_ONLY
3,0,w_Z_longitudinal,32,41,14,0.0009133892885538658,0.0010334094036015188,0.00144861272855171,0.0014664602386620805,INNER_ONLY
3,0,w_Z_longitudinal,64,41,14,0.0002623385140133005,0.0002616398961908862,0.00039319274177452066,0.00041859627893319233,INNER_ONLY
3,0,w_Z_longitudinal,96,41,14,0.000233220897374386,0.00023957290391378507,0.00035395493935939395,0.0003753188508238174,INNER_ONLY
3,0,w_Z_longitudinal,128,41,14,0.00021553121670749112,0.00022266860217067406,0.00033528553376405325,0.0003494782419674853,INNER_ONLY
3,1,u_X_transverse,16,41,14,0.010831971913925494,0.03151297679767419,0.06647875816799416,0.0673980245517771,INNER_ONLY
3,1,u_X_transverse,32,41,14,0.004027472335749789,0.014603733910504148,0.02044941362189707,0.021271226072862574,INNER_ONLY
3,1,u_X_transverse,64,41,14,0.0007602942231256475,0.002798701360925971,0.0036867369035413888,0.004106725759525353,INNER_ONLY
