trial_id,variant,case_id,axis,model,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
COMMON_FEM,common,V40_B_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.1719983993577115,True,0.000991685143641672
R4_LHS_03,physics,V40_B_E4_C7_1T,Z,S10,0.9764742799595165,True,0.005620236506911411
COMMON_FEM,common,V40_CPLUS_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.45648666788347925,True,0.0006728410515258959
R4_LHS_03,physics,V40_CPLUS_E4_C7_1T,X,S10,0.8600310933559324,True,0.001154515665588139
COMMON_FEM,common,V40_CPLUS_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3157489689203889,True,0.0025475714367381745
R4_LHS_03,physics,V40_CPLUS_E4_C7_1T,Y,S10,0.9516640653889614,True,0.007354128745306462
COMMON_FEM,common,V40_CPLUS_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.22983168796922476,True,0.0017257329439910429
R4_LHS_03,physics,V40_CPLUS_E4_C7_1T,Z,S10,0.9685659717883551,True,0.0071700222444581515
COMMON_FEM,common,V40_C_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.5041802529638745,True,0.0006691361694725432
R4_LHS_03,physics,V40_C_E4_C7_1T,X,S10,0.8464920921580731,True,0.0009865398958862131
COMMON_FEM,common,V40_C_E4_C7_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,0.3067837138536415,True,0.002001594779973065
R4_LHS_03,physics,V40_C_E4_C7_1T,Y,S10,0.9564014876882471,True,0.006129770649494217
COMMON_FEM,common,V40_C_E4_C7_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,0.21584121391413702,True,0.0014107831161827473
R4_LHS_03,physics,V40_C_E4_C7_1T,Z,S10,0.9110554873492717,True,0.005935005201416098
COMMON_FEM,common,V52_A_E4_C7_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,0.5692103683495022,True,0.0005730555716162502
