trial_id,variant,case_id,model,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
COMMON_B2,common,V52_A_E1_C4_2T,B2,displacement,X,1.1399118406900797,0.09991673605328841,0.09991673605328841,0.0,0.996892511844635,0.004355747252702713,True,True,496
R4_LHS_03,physics,V52_A_E1_C4_2T,S10_HYBRID,displacement,Y,2.9397768048225306,0.06661115736885893,0.06661115736885893,0.0,0.9961937665939331,0.0,True,True,496
R4_LHS_03,physics,V52_A_E1_C4_2T,S10,velocity,Y,1.0995552049266233,0.13322231473771787,0.13322231473771787,0.0,0.9834696650505066,-0.004517900757491589,True,True,496
COMMON_B2,common,V52_A_E1_C4_2T,B2,displacement,Y,2.257404261846995,0.06661115736885893,0.06661115736885893,0.0,0.9996975660324097,0.0,True,True,496
R4_LHS_03,physics,V52_A_E1_C4_2T,S10_HYBRID,displacement,Z,3.585730696810277,0.09991673605328841,0.09991673605328841,0.0,0.9970706701278687,0.017292378470301628,True,True,508
R4_LHS_03,physics,V52_A_E1_C4_2T,S10,velocity,Z,1.7477554232680974,0.13322231473771787,0.13322231473771787,0.0,0.9962656497955322,-0.021057577803730965,True,True,508
COMMON_B2,common,V52_A_E1_C4_2T,B2,displacement,Z,5.657433665799579,0.09991673605328841,0.09991673605328841,0.0,0.9989413619041443,-0.005240677390247583,True,True,508
R4_LHS_03,physics,V52_B_E1_C4_2T,S10_HYBRID,displacement,X,2.5377608361169743,0.09991673605328841,0.06661115736885893,0.033305578684429474,0.9876172542572021,-0.00882401317358017,True,True,496
R4_LHS_03,physics,V52_B_E1_C4_2T,S10,velocity,X,1.1654907913282364,0.16652789342214733,0.16652789342214733,0.0,0.9286485314369202,-0.004390663467347622,True,True,496
COMMON_B2,common,V52_B_E1_C4_2T,B2,displacement,X,1.516099702043926,0.09991673605328841,0.06661115736885893,0.033305578684429474,0.9859995245933533,-0.002684906590729952,True,True,496
R4_LHS_03,physics,V52_B_E1_C4_2T,S10_HYBRID,displacement,Y,3.226193709341388,0.06661115736885893,0.06661115736885893,0.0,0.9926605224609375,0.0,True,True,496
R4_LHS_03,physics,V52_B_E1_C4_2T,S10,velocity,Y,1.3436312736845488,0.13322231473771787,0.13322231473771787,0.0,0.9865379333496094,-0.009604915976524353,True,True,496
COMMON_B2,common,V52_B_E1_C4_2T,B2,displacement,Y,2.4133135238467083,0.06661115736885893,0.06661115736885893,0.0,0.9992688894271851,0.0,True,True,496
