trial_id,seed,observation_node_zero_based,X_m,Y_m,Z_m,axis,node_relative_l2
R4_LHS_03,20260813,62,-8.336,1.2461537361388079e-14,-49.147342,Y,0.02510688543015468
R4_LHS_03,20260813,62,-8.336,1.2461537361388079e-14,-49.147342,Z,0.027581979153520404
R4_LHS_03,20260813,63,-8.336,1.050433240017279e-14,-43.732342,X,0.02122203936217237
R4_LHS_03,20260813,63,-8.336,1.050433240017279e-14,-43.732342,Y,0.02582299094319041
R4_LHS_03,20260813,63,-8.336,1.050433240017279e-14,-43.732342,Z,0.03107473222889452
R4_LHS_03,20260813,64,-8.336,7.864003269669052e-15,-36.427342,X,0.021333390614820112
R4_LHS_03,20260813,64,-8.336,7.864003269669052e-15,-36.427342,Y,0.030145552833914104
R4_LHS_03,20260813,64,-8.336,7.864003269669052e-15,-36.427342,Z,0.02629013062607551
R4_LHS_03,20260813,65,-8.336,5.565236223809534e-15,-30.067342,X,0.034290550932022504
R4_LHS_03,20260813,65,-8.336,5.565236223809534e-15,-30.067342,Y,0.07420813865806346
R4_LHS_03,20260813,65,-8.336,5.565236223809534e-15,-30.067342,Z,0.02618706327776821
R4_LHS_03,20260813,66,-8.336,3.608031262594242e-15,-24.652342000000004,X,0.03685391527660653
R4_LHS_03,20260813,66,-8.336,3.608031262594242e-15,-24.652342000000004,Y,0.042592824321024826
R4_LHS_03,20260813,66,-8.336,3.608031262594242e-15,-24.652342000000004,Z,0.027403244892781103
R4_LHS_03,20260813,67,-8.336,1.6923920577113162e-15,-19.352342000000018,X,0.04303917601840002
R4_LHS_03,20260813,67,-8.336,1.6923920577113162e-15,-19.352342000000018,Y,0.044132662790762445
R4_LHS_03,20260813,67,-8.336,1.6923920577113162e-15,-19.352342000000018,Z,0.02784191527024866
R4_LHS_03,20260813,68,-8.336,0.0,-14.34,X,0.07111704695454467
R4_LHS_03,20260813,68,-8.336,0.0,-14.34,Y,0.054199580796103534
R4_LHS_03,20260813,68,-8.336,0.0,-14.34,Z,0.024545136115929178
R4_LHS_03,20260813,69,-8.336,0.0,-9.56,X,0.07579823652504848
R4_LHS_03,20260813,69,-8.336,0.0,-9.56,Y,0.06053691538388932
R4_LHS_03,20260813,69,-8.336,0.0,-9.56,Z,0.02527011984431275
R4_LHS_03,20260813,70,-8.336,0.0,0.0,X,0.10980482996162842
R4_LHS_03,20260813,70,-8.336,0.0,0.0,Y,0.14133356126826085
R4_LHS_03,20260813,70,-8.336,0.0,0.0,Z,0.029058644820080238
R4_LHS_03,20260813,71,-7.812000000000001,-17.0929139586129,-105.816469186063,X,0.0
R4_LHS_03,20260813,71,-7.812000000000001,-17.0929139586129,-105.816469186063,Y,0.0
R4_LHS_03,20260813,71,-7.812000000000001,-17.0929139586129,-105.816469186063,Z,0.0
R4_LHS_03,20260813,72,-7.811999999999996,-17.092913958612904,-29.183530813936898,X,1.0
R4_LHS_03,20260813,72,-7.811999999999996,-17.092913958612904,-29.183530813936898,Y,1.0
R4_LHS_03,20260813,72,-7.811999999999996,-17.092913958612904,-29.183530813936898,Z,0.02897270013392421
R4_LHS_03,20260813,73,-7.812,-15.492978896205287,-106.75890296117062,X,0.07015873418469289
R4_LHS_03,20260813,73,-7.812,-15.492978896205287,-106.75890296117062,Y,0.03415407105814307
R4_LHS_03,20260813,73,-7.812,-15.492978896205287,-106.75890296117062,Z,0.04718152527621098
R4_LHS_03,20260813,74,-7.812,-15.2798204582039,-30.251524504657297,X,0.020359552653761426
R4_LHS_03,20260813,74,-7.812,-15.2798204582039,-30.251524504657297,Y,0.044627170734631974
R4_LHS_03,20260813,74,-7.812,-15.2798204582039,-30.251524504657297,Z,0.02931452026626976
R4_LHS_03,20260813,75,-7.812,-14.411382704136615,-27.603988192111693,X,0.04828157871108269
R4_LHS_03,20260813,75,-7.812,-14.411382704136615,-27.603988192111693,Y,0.053937294095308334
R4_LHS_03,20260813,75,-7.812,-14.411382704136615,-27.603988192111693,Z,0.027576782054957977
R4_LHS_03,20260813,76,-7.812000000000001,-14.36310665623189,-104.2084897988072,X,0.02145151171917394
R4_LHS_03,20260813,76,-7.812000000000001,-14.36310665623189,-104.2084897988072,Y,0.03225992526391655
R4_LHS_03,20260813,76,-7.812000000000001,-14.36310665623189,-104.2084897988072,Z,0.05970880630346409
R4_LHS_03,20260813,77,-7.812,-13.882985174979199,-31.0743233670013,X,0.013839237272147953
R4_LHS_03,20260813,77,-7.812,-13.882985174979199,-31.0743233670013,Y,0.047173896435532936
R4_LHS_03,20260813,77,-7.812,-13.882985174979199,-31.0743233670013,Z,0.028483725164545545
