trial_context,seed,case_id,axis,model,frequency_hz,target_psd,predicted_psd,coherence,phase_rad
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.065778517901743,5.677009539795108e-06,5.666358902089996e-06,0.9996177353132376,0.0008906964694468604
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.0990840965861723,2.3580960260005668e-05,2.341233630431816e-05,0.9998595526970793,0.001111508303280799
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.132389675270602,9.81790799414739e-05,9.79272517724894e-05,0.9998787881730498,0.0011122109283918792
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.1656952539550314,0.0003236116608604789,0.00032380581251345575,0.9998980236490204,0.0011129135535029597
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.1990008326394608,0.0005583002348430455,0.0005584859172813594,0.9999172591249909,0.00111361617861404
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.2323064113238902,0.00038594190846197307,0.00038583436980843544,0.9999364946009615,0.0011143188037251205
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.2656119900083198,0.0001354331470793113,0.00013546252739615738,0.9999354396831185,0.0011267507775259407
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.2989175686927492,3.6838373489445075e-05,3.6943249142495915e-05,0.9999113889856204,0.0011524760131751321
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.3322231473771786,1.0142483006347902e-05,1.0162714715988841e-05,0.9998873382881222,0.0011782012488243236
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.3655287260616082,3.086993046963471e-06,3.1003914955363143e-06,0.999863287590624,0.001203926484473515
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.3988343047460376,1.0648153647707659e-06,1.0623097068673815e-06,0.9998392368931258,0.0012296517201227065
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.432139883430467,4.1625759195085266e-07,4.0819361402100185e-07,0.9985516243036542,0.0002898710363425825
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.4654454621148965,1.7889692571770865e-07,1.8417087233046914e-07,0.9969020869511549,-0.0009264615942087438
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.498751040799326,8.205586965459588e-08,8.879158031049883e-08,0.9952525495986557,-0.002142794224760078
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.5320566194837555,4.294790656445002e-08,4.3318188147623005e-08,0.9936030122461565,-0.0033591268553114046
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.565362198168185,2.540833321518221e-08,2.374304308716546e-08,0.9900462628403471,-0.004388279174271061
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.5986677768526145,1.6390409030009323e-08,1.537166838261328e-08,0.9662037125038762,-0.0034265136335740114
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.631973355537044,1.0393970129030095e-08,1.0527150706707289e-08,0.9423611621674053,-0.0024647480928769675
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.6652789342214733,7.94860710584544e-09,6.906798688532945e-09,0.9185186118309344,-0.0015029825521799237
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.6985845129059027,5.133185432271148e-09,3.884840893420005e-09,0.8946760614944635,-0.0005412170114828798
R4_LHS_03,20260813,V40_A_E5_C9_1T,X,R4_LHS_03,1.7318900915903324,5.216580944988891e-09,4.017893129315553e-09,0.8740328696248533,-0.008014460803367054
