evidence,FEM_mode,graph_mode,value,trial_id,mode,seed,case_id,admitted_modes,response_subspace_MAC_mean,response_subspace_MAC_min
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E7_C11_2T,10.0,0.8032332125113584,0.07134796997334585
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E7_C11_2T,10.0,0.8592180930989016,0.13966458700487794
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_A_E8_C12_2T,10.0,0.7331169339250196,0.02216654387495996
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_B_E8_C12_2T,10.0,0.7757320285648379,0.08648945511298402
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_CPLUS_E8_C12_2T,9.0,0.7386474522389705,0.008629770866876458
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V40_C_E8_C12_2T,10.0,0.7657991595040097,0.06865829535489718
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_A_E8_C12_2T,10.0,0.7331555124284136,0.00407466742764296
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_B_E8_C12_2T,10.0,0.7660321306736757,0.01925121631907284
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_CPLUS_E8_C12_2T,10.0,0.7604073151288353,0.00697725522006879
OOF_response_subspace_MAC,,,,R4_LHS_03,,20260813.0,V52_C_E8_C12_2T,10.0,0.7519601665845155,0.04614773952779844
