trial_id,seed,case_id,axis,node_zero_based,FEM_peak_time_s,time_s,model,displacement_m
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.0,control,0.0011120433919131756
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.0250000000000001,control,0.001100327237509191
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.05,control,0.0010826170910149813
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.075,control,0.0010680240811780095
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.1,control,0.0010566627606749535
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.125,control,0.0010474342852830887
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.1500000000000001,control,0.0010447805980220437
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,1.175,control,0.0010543132666498423
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.0,B2,0.000966800784226507
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.025,B2,0.000979273347184062
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.05,B2,0.0010844841599464417
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.07500000000000001,B2,0.0010602684924378991
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.1,B2,0.0010900056222453713
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.125,B2,0.0011357588227838278
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.15000000000000002,B2,0.0011832290329039097
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.17500000000000002,B2,0.0011947540333494544
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.2,B2,0.0011624613543972373
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.225,B2,0.0011189578799530864
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.25,B2,0.0010835517896339297
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.275,B2,0.0010780602460727096
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.30000000000000004,B2,0.001106321346014738
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.325,B2,0.0011127201141789556
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.35000000000000003,B2,0.0011067825835198164
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.375,B2,0.0011150130303576589
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.4,B2,0.0011323196813464165
R4_LHS_03,20260813,BASE_C1_0T,X,437,0.17500000000000002,0.42500000000000004,B2,0.001135427039116621
