feature,fold,repeat,delta_MAE,baseline_MAE
weight_decay,0,12,-0.02440881251268137,0.1318489606058634
weight_decay,0,13,-0.00029196035125464426,0.1318489606058634
weight_decay,0,14,-0.025626170962200212,0.1318489606058634
weight_decay,0,15,-0.004721197503613578,0.1318489606058634
weight_decay,0,16,-0.036805868135970476,0.1318489606058634
weight_decay,0,17,-0.015419821152795637,0.1318489606058634
weight_decay,0,18,-0.009527770794974716,0.1318489606058634
weight_decay,0,19,-0.013524692351695344,0.1318489606058634
weight_decay,0,20,-0.017374929715221504,0.1318489606058634
weight_decay,0,21,-0.004606313088806241,0.1318489606058634
weight_decay,0,22,0.004493825970288773,0.1318489606058634
weight_decay,0,23,-0.03775909109900402,0.1318489606058634
weight_decay,0,24,-0.0034429537543528566,0.1318489606058634
weight_decay,0,25,-0.01895196554272588,0.1318489606058634
weight_decay,0,26,-0.012708753504769577,0.1318489606058634
weight_decay,0,27,-0.0047817732661048495,0.1318489606058634
weight_decay,0,28,-0.005120990669597453,0.1318489606058634
weight_decay,0,29,-0.0008799556978427436,0.1318489606058634
velocity_data_weight,0,0,0.0010595999896792219,0.1318489606058634
velocity_data_weight,0,1,-0.0006229010430428006,0.1318489606058634
velocity_data_weight,0,2,0.0016151806625979148,0.1318489606058634
velocity_data_weight,0,3,0.0016618393964360212,0.1318489606058634
velocity_data_weight,0,4,0.001113474483910748,0.1318489606058634
velocity_data_weight,0,5,0.00019395407648584162,0.1318489606058634
velocity_data_weight,0,6,0.0005626349036001732,0.1318489606058634
velocity_data_weight,0,7,0.001729982597851898,0.1318489606058634
velocity_data_weight,0,8,0.0018462308030529895,0.1318489606058634
velocity_data_weight,0,9,0.00032248203999563074,0.1318489606058634
velocity_data_weight,0,10,-0.0006229010430428006,0.1318489606058634
velocity_data_weight,0,11,0.0015278552815835844,0.1318489606058634
velocity_data_weight,0,12,0.0009565981579171823,0.1318489606058634
velocity_data_weight,0,13,0.0020507775107372617,0.1318489606058634
velocity_data_weight,0,14,0.0006734244432689274,0.1318489606058634
velocity_data_weight,0,15,0.0012292470728267335,0.1318489606058634
velocity_data_weight,0,16,0.0005359424308475913,0.1318489606058634
velocity_data_weight,0,17,0.0016991245003870892,0.1318489606058634
velocity_data_weight,0,18,0.0007627319817777589,0.1318489606058634
velocity_data_weight,0,19,-0.0003961114921126052,0.1318489606058634
velocity_data_weight,0,20,0.002388406769581325,0.1318489606058634
velocity_data_weight,0,21,0.0013488382948692867,0.1318489606058634
velocity_data_weight,0,22,0.0004642139227588882,0.1318489606058634
velocity_data_weight,0,23,0.0019203108710978412,0.1318489606058634
velocity_data_weight,0,24,0.0016927315712854385,0.1318489606058634
velocity_data_weight,0,25,0.0021418950542597126,0.1318489606058634
velocity_data_weight,0,26,0.0007436401728476427,0.1318489606058634
velocity_data_weight,0,27,0.002192509393500519,0.1318489606058634
velocity_data_weight,0,28,0.00041727615712744415,0.1318489606058634
velocity_data_weight,0,29,0.0015278552815835844,0.1318489606058634
