edge_index,local_axis,mid_X_m,mid_Y_m,mid_Z_m,dir_X,dir_Y,dir_Z
21162,local x,0.5240000000000145,-1.628308987619464,-117.29041194179298,3.3072400956272975e-15,1.0,0.0
21569,local x,-2.872,-0.37767400000001006,-119.49189545860499,0.0,0.0,-1.0
21976,local x,-6.69,-0.37767400000001,-121.95765860215053,0.0,0.0,-1.0
22383,local x,-7.812,4.170375343889104e-16,-120.56099999999999,0.0,-1.8053572917267987e-15,1.0
22790,local x,0.0,0.0,-125.26968082829549,0.0,0.0,1.0
23197,local x,-8.336,-0.5335102387626807,-130.7928164737839,0.0,-0.6815542490159364,-0.7317675899138489
23604,local x,-4.94,-0.5984740000000001,-130.21999999999997,0.0,1.0,0.0
24011,local x,-7.812,2.617710451107667e-14,-134.8296808282955,0.0,-1.8053572917269927e-15,1.0
24417,local x,-3.426861011133025,-0.37767400000001,-4.78,-1.0,0.0,0.0
24824,local x,0.52400000000001,-0.09290819101016015,-2.2902468209729188,-1.2325951644078315e-32,0.6815542490159685,-0.7317675899138191
25231,local x,-2.724387731563086,-0.37767400000000506,-9.56,-1.0,3.346938917677695e-14,0.0
25638,local x,0.52400000000001,-2.226,-7.340319171704511,0.0,0.0,-1.0
26045,local x,-4.94,-0.37767400000001,-13.261021505376352,0.0,0.0,-1.0
26452,local x,-3.426861011133025,-0.37767400000001,-14.67,-1.0,0.0,0.0
26859,local x,-8.074000000000003,8.08643819496666e-15,-17.068671000000005,-0.8481132183554099,-2.4748456098642994e-14,-0.5298150326772816
27266,local x,-7.864400000000002,7.789787038829638e-15,-22.2377342,-0.8481132183554099,8.20003508523497e-14,-0.5298150326772816
27673,local x,0.52400000000001,4.0202551330034834e-15,-25.792842000000004,0.0,-3.614413594118424e-16,1.0
28080,local x,0.0,-7.843284974534657,-23.145877296019247,0.0,-0.7104310798497808,-0.7037667801079234
28487,local x,-4.2161999999999935,-0.37767400000001,-27.073471070308617,-0.8624700727591087,0.0,-0.5061080651352021
28894,local x,-8.336,3.363192074448241e-15,-23.974945288831158,0.0,-3.614413594118733e-16,1.0
29301,local x,0.52400000000001,5.599392432273958e-15,-30.161842000000004,0.0,-3.6144135941187118e-16,1.0
29708,local x,-8.2836,-17.092913958612904,-29.183530813936898,1.0,-3.38999396832106e-14,0.0
30115,local x,-7.864400000000001,1.5684475001792454e-14,-36.87973420000001,0.7216500942728241,-1.0520102614347504e-13,-0.6922580020743886
30522,local x,-8.2836,8.032959601763478e-15,-40.5196078,-0.8481132183554058,2.13968812797386e-14,-0.529815032677288
30929,local x,0.52400000000001,8.486224569896591e-15,-38.148842,0.0,-3.614413594118806e-16,1.0
31336,local x,-8.336,-8.09209277502036,-44.136110584638004,0.0,0.0,1.0
31743,local x,0.52400000000001,9.950423516874092e-15,-42.199842000000004,0.0,-3.6144135941187226e-16,1.0
32150,local x,-8.336,1.052511527833897e-14,-43.78984200000001,0.0,-3.6144135941181684e-16,1.0
32557,local x,0.36680000000000706,1.3125591910062235e-14,-51.4181394,-0.7216500942728339,-1.4574496587052233e-14,-0.6922580020743783
32964,local x,0.52400000000001,1.5929484087224422e-14,-55.601842000000005,0.0,1.1649389026962749e-14,1.0
33371,local x,-4.94,-0.37767400000001006,-53.4107183105298,0.0,0.0,1.0
33778,local x,-7.812,-8.09209277502036,-51.77052458463801,0.0,0.0,1.0
34185,local x,-4.94,-0.37767400000001006,-64.61113766832128,0.0,0.0,1.0
34592,local x,0.52400000000001,-8.092092775020358,-56.46911058463802,0.0,0.0,1.0
34999,local x,-8.178799999999994,2.5798477195074262e-14,-73.3141394,-0.8481132183553501,2.327622383362288e-14,-0.5298150326773773
35406,local x,-3.40777476411343,-8.09209277502036,-54.037364583049936,-0.8411843529396758,0.0,0.5407484483282954
35813,local x,-7.969200000000001,-8.092092775020365,-64.664900384638,-0.8025026909224354,4.080718922682715e-14,-0.5966484987513588
36220,local x,0.36680000000000734,-8.092092775020365,-60.944734784638,-0.7655220818340079,-3.892672860050765e-14,-0.6434096224214607
36626,local x,-8.335999999999999,-8.092092775020355,-68.129110584638,7.723290606084571e-14,3.8616453030422856e-13,1.0
37033,local x,0.52400000000001,-8.092092775020353,-63.797347584638004,0.0,0.0,1.0
37440,local x,-8.336,1.106919635649106e-14,-75.05984199999997,0.0,-2.611495503162388e-16,1.0
37847,local x,-3.802599999999998,-0.37767400000001,-78.84909565089707,-0.8422557358323411,0.0,0.5390781719356866
38254,local x,0.52400000000001,1.677568943399856e-14,-79.875842,0.0,-3.8711304895749004e-13,1.0
38661,local x,-7.677468623019417,-7.952737887196735,-76.282915415362,0.6945459640243915,0.7194483330006601,0.0
39068,local x,-2.872,-0.37767400000001006,-83.43776003000562,0.0,0.0,-1.0
39475,local x,-6.551385361658456,-0.37767400000001006,-86.282915415362,1.0,2.0023553029976216e-16,0.0
39882,local x,-4.94,-0.37767400000001006,-88.01899096864187,0.0,0.0,1.0
40289,local x,-7.812,-7.771200033206869,-86.282915415362,0.0,-1.0,2.2142686423649226e-14
40696,local x,0.05240000000000095,1.7589573255762642e-14,-97.4977342,0.8481132183554122,3.0069445859413214e-14,-0.5298150326772779
