trial_id,variant,seed,case_id,quantity,axis,band_low_hz,band_high_hz,predicted_energy,target_energy,relative_energy_error
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,X,10.0,20.0,5.0611266048329624e-11,5.188022435964233e-11,0.024459383647149932
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Y,0.0,0.5,0.00010022596890964758,0.0001025826542294725,0.02297352644583687
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Y,0.5,1.0,1.1844200222135421e-07,1.195061152821352e-07,0.008904256140104443
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Y,1.0,2.0,5.001636935316693e-08,5.615334321315152e-08,0.10928955443827013
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Y,2.0,5.0,3.62480134537945e-08,2.5475710406065728e-08,0.4228460316130735
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Y,5.0,10.0,7.985280897058066e-09,2.8847370426354096e-09,1.7681139663818204
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Y,10.0,20.0,5.694734987253675e-09,4.306247358536759e-09,0.3224356413164146
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Z,0.0,0.5,5.029533885106045e-05,5.131688248980094e-05,0.019906580235919846
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Z,0.5,1.0,3.346810859535444e-08,1.51810933072331e-08,1.204591455834634
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Z,1.0,2.0,6.86946598855219e-08,5.940643127389881e-08,0.1563505568748754
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Z,2.0,5.0,6.867259451628433e-08,1.7370169944373398e-08,2.9534785633187766
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Z,5.0,10.0,2.4322132871893933e-08,9.994803868572201e-10,23.334777542131448
COMMON_B2,common,-1,V52_A_E1_C4_2T,total_displacement,Z,10.0,20.0,1.188052808395e-08,6.950220772032743e-10,16.09374201716945
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,X,0.0,0.5,4.23716579380595e-07,4.325815430313452e-07,0.020493162025888478
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,X,0.5,1.0,2.1610776966626884e-09,2.7358989456397504e-09,0.21010324591599577
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,X,1.0,2.0,6.745339771060097e-10,8.905707677461249e-10,0.24258239599180384
COMMON_B2,common,-1,V52_B_E1_C4_2T,total_displacement,X,2.0,5.0,3.8146741929101813e-10,1.7105737604207804e-10,1.2300553657340199
