trial_id,variant,seed,case_id,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,20260813,V40_CPLUS_E2_C5_2T,incremental_velocity,Z,2.110437377773042,0.09991673605328841,0.09991673605328841,0.0,0.9960966110229492,-0.006067587994039059,True,True,508
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,total_displacement,X,1.862896255289201,1.1990008326394608,1.1990008326394608,0.0,0.9998779296875,0.0001880829076981172,True,True,496
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,incremental_velocity,X,1.8067882300724085,2.0316402997501974,1.9650291423813386,0.06661115736885881,0.44121575355529785,0.6413562893867493,True,True,496
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,total_displacement,Y,3.6489389150844733,0.06661115736885893,0.06661115736885893,0.0,0.9894693493843079,0.0,True,True,496
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,incremental_velocity,Y,1.5347858677262247,0.09991673605328841,0.09991673605328841,0.0,0.9844938516616821,-0.015114863403141499,True,True,496
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,total_displacement,Z,4.491427404406773,0.06661115736885893,0.06661115736885893,0.0,0.9947301745414734,0.0,True,True,508
R4_LHS_03,physics,20260813,V40_C_E2_C5_2T,incremental_velocity,Z,2.1766131159465165,0.09991673605328841,0.09991673605328841,0.0,0.994975745677948,-0.011062144301831722,True,True,508
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,total_displacement,X,1.4727982814775198,1.1990008326394608,1.1990008326394608,0.0,0.9999618530273438,0.00021268517593853176,True,True,496
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,incremental_velocity,X,2.362824752347392,0.16652789342214733,0.16652789342214733,0.0,0.9265257716178894,0.01906564272940159,True,True,496
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,total_displacement,Y,2.607020563136427,0.06661115736885893,0.06661115736885893,0.0,0.9946178793907166,0.0,True,True,496
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,incremental_velocity,Y,1.2016181498597482,0.13322231473771787,0.13322231473771787,0.0,0.97931969165802,0.006725423038005829,True,True,496
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,total_displacement,Z,3.5334708908733568,0.09991673605328841,0.09991673605328841,0.0,0.9986717700958252,0.009074908681213856,True,True,508
R4_LHS_03,physics,20260813,V52_A_E2_C5_2T,incremental_velocity,Z,1.9473534998801487,0.13322231473771787,0.13322231473771787,0.0,0.9958500862121582,0.01567874848842621,True,True,508
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,total_displacement,X,1.7137319074615918,1.1990008326394608,1.1990008326394608,0.0,0.9999502301216125,-3.208649286534637e-05,True,True,496
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,incremental_velocity,X,1.7761132229809966,0.16652789342214733,0.16652789342214733,0.0,0.9278745055198669,0.01633342169225216,True,True,496
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,total_displacement,Y,3.142003941700389,0.06661115736885893,0.06661115736885893,0.0,0.9938040971755981,0.0,True,True,496
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,incremental_velocity,Y,1.345553411175426,0.13322231473771787,0.13322231473771787,0.0,0.9791314005851746,0.01903671957552433,True,True,496
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,total_displacement,Z,4.020179275287394,0.09991673605328841,0.09991673605328841,0.0,0.9976854920387268,-0.013520583510398865,True,True,508
R4_LHS_03,physics,20260813,V52_B_E2_C5_2T,incremental_velocity,Z,1.919344622270657,0.13322231473771787,0.13322231473771787,0.0,0.9971365928649902,0.006902975030243397,True,True,508
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,total_displacement,X,2.2249658283882177,1.1990008326394608,1.1990008326394608,0.0,0.9998719096183777,-7.259885023813695e-05,True,True,496
R4_LHS_03,physics,20260813,V52_CPLUS_E2_C5_2T,incremental_velocity,X,1.207780075338226,0.16652789342214733,0.16652789342214733,0.0,0.9287029504776001,-0.01660013012588024,True,True,496
