trial_id,variant,seed,case_id,axis,model,quantity,derivative_vs_velocity_relative_l2,derivative_vs_velocity_relative_l2_defined,derivative_vs_velocity_rmse_mps
R4_LHS_03,physics,20260813,V52_C_E2_C5_2T,Z,candidate,incremental_displacement_to_velocity,0.6736576844694022,True,0.0052459539547359164
COMMON_FEM,common,-1,V52_C_E2_C5_2T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.22221425018742175,True,0.0017876702534656093
R4_LHS_03,physics,20260813,V40_A_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.8412946033300629,True,0.0005498261516873846
COMMON_FEM,common,-1,V40_A_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.24406438779166806,True,0.00016671946996846314
R4_LHS_03,physics,20260813,V40_A_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,0.890858716969334,True,0.003816902809739034
COMMON_FEM,common,-1,V40_A_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2935344202332273,True,0.0013510744843258956
R4_LHS_03,physics,20260813,V40_A_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.7097767288289035,True,0.0037402785864322297
COMMON_FEM,common,-1,V40_A_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.1731005210557972,True,0.0009430839384240679
R4_LHS_03,physics,20260813,V40_B_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.8572007472838925,True,0.0007062249708173251
COMMON_FEM,common,-1,V40_B_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.2521623988409008,True,0.00021945353389715312
R4_LHS_03,physics,20260813,V40_B_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,1.003178806343634,True,0.005249659392381816
COMMON_FEM,common,-1,V40_B_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.32444204853169933,True,0.001823746713738105
R4_LHS_03,physics,20260813,V40_B_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.9376252072144734,True,0.005331018525867362
COMMON_FEM,common,-1,V40_B_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.21662961435764996,True,0.001314807130937352
R4_LHS_03,physics,20260813,V40_CPLUS_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.8757828770591267,True,0.001083415113822492
COMMON_FEM,common,-1,V40_CPLUS_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.23981065837154444,True,0.0003095094245375369
R4_LHS_03,physics,20260813,V40_CPLUS_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,1.0448368465732683,True,0.008224301084710015
COMMON_FEM,common,-1,V40_CPLUS_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3152041510403604,True,0.0025472054328666187
R4_LHS_03,physics,20260813,V40_CPLUS_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.9686360090877739,True,0.0072579610201896575
COMMON_FEM,common,-1,V40_CPLUS_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.23983123308847834,True,0.0018598292004468513
R4_LHS_03,physics,20260813,V40_C_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.8425738845205978,True,0.0008315135729407867
COMMON_FEM,common,-1,V40_C_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.24830941319044644,True,0.000257718873201026
R4_LHS_03,physics,20260813,V40_C_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,0.9187868876725849,True,0.005695365772606158
COMMON_FEM,common,-1,V40_C_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3134659060673015,True,0.002056409578146788
R4_LHS_03,physics,20260813,V40_C_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.8883366632616266,True,0.005627285032545256
COMMON_FEM,common,-1,V40_C_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.22889003010399575,True,0.0015222778357435267
R4_LHS_03,physics,20260813,V52_A_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.8633759754205174,True,0.000516875778520671
COMMON_FEM,common,-1,V52_A_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.3231880510361588,True,0.0002186746224120622
R4_LHS_03,physics,20260813,V52_A_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,0.8683059456670644,True,0.004638194171919861
COMMON_FEM,common,-1,V52_A_E3_C6_1T,Y,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.364098077007211,True,0.002133418764858724
R4_LHS_03,physics,20260813,V52_A_E3_C6_1T,Z,candidate,incremental_displacement_to_velocity,0.6814866164691309,True,0.0035650014242491097
COMMON_FEM,common,-1,V52_A_E3_C6_1T,Z,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.1807271388766811,True,0.001003055829346518
R4_LHS_03,physics,20260813,V52_B_E3_C6_1T,X,candidate,incremental_displacement_to_velocity,0.804890426296496,True,0.0006117002138624814
COMMON_FEM,common,-1,V52_B_E3_C6_1T,X,FEM_COMSOL_SAVED_GRID_FLOOR,incremental_displacement_to_velocity,0.29058462489983145,True,0.00024242795179211553
R4_LHS_03,physics,20260813,V52_B_E3_C6_1T,Y,candidate,incremental_displacement_to_velocity,0.8530803563560837,True,0.005684488673753019
