trial_id,variant,model,case_id,axis,relative_l2
R4_LHS_03,control,R4_LHS_03-control,V52_B_E7_C11_2T,X,0.0210218275194214
R4_LHS_03,control,R4_LHS_03-control,V52_B_E7_C11_2T,Y,0.0474256280564123
R4_LHS_03,control,R4_LHS_03-control,V52_B_E7_C11_2T,Z,0.0673152681731289
R4_LHS_03,control,R4_LHS_03-control,V52_B_E8_C12_2T,X,0.0750561166537892
R4_LHS_03,control,R4_LHS_03-control,V52_B_E8_C12_2T,Y,0.0265241951775716
R4_LHS_03,control,R4_LHS_03-control,V52_B_E8_C12_2T,Z,0.0369970316745647
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E1_C4_2T,X,0.0656824090327155
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E1_C4_2T,Y,0.0213435086706966
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E1_C4_2T,Z,0.0249241927379186
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E2_C5_2T,X,0.0192584539702172
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E2_C5_2T,Y,0.0341865898811606
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E2_C5_2T,Z,0.0487189065717258
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E3_C6_1T,X,0.0679763751485584
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E3_C6_1T,Y,0.0544503376243168
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E3_C6_1T,Z,0.0423259623736522
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E4_C7_1T,X,0.0115096254727151
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E4_C7_1T,Y,0.0322280460423526
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E4_C7_1T,Z,0.0367916374105464
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E5_C9_1T,X,0.013200534301591
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E5_C9_1T,Y,0.0289626958028007
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E5_C9_1T,Z,0.0247529487246595
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E6_C10_1T,X,0.0468566700335612
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E6_C10_1T,Y,0.032478998731716
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E6_C10_1T,Z,0.036977134964594
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E7_C11_2T,X,0.0225360079698
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E7_C11_2T,Y,0.043184685718748
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E7_C11_2T,Z,0.057861754212121
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E8_C12_2T,X,0.1083029052279739
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E8_C12_2T,Y,0.0348950266783264
R4_LHS_03,control,R4_LHS_03-control,V52_CPLUS_E8_C12_2T,Z,0.047178961833964
R4_LHS_03,control,R4_LHS_03-control,V52_C_E1_C4_2T,X,0.0988373832225567
R4_LHS_03,control,R4_LHS_03-control,V52_C_E1_C4_2T,Y,0.0413230292165683
R4_LHS_03,control,R4_LHS_03-control,V52_C_E1_C4_2T,Z,0.0580715800693762
R4_LHS_03,control,R4_LHS_03-control,V52_C_E2_C5_2T,X,0.0170120320542401
R4_LHS_03,control,R4_LHS_03-control,V52_C_E2_C5_2T,Y,0.0318408724742677
R4_LHS_03,control,R4_LHS_03-control,V52_C_E2_C5_2T,Z,0.0452877181181125
R4_LHS_03,control,R4_LHS_03-control,V52_C_E3_C6_1T,X,0.078809584587316
R4_LHS_03,control,R4_LHS_03-control,V52_C_E3_C6_1T,Y,0.0515523811890852
R4_LHS_03,control,R4_LHS_03-control,V52_C_E3_C6_1T,Z,0.0344037192094871
R4_LHS_03,control,R4_LHS_03-control,V52_C_E4_C7_1T,X,0.015320480093893
R4_LHS_03,control,R4_LHS_03-control,V52_C_E4_C7_1T,Y,0.0325889304142005
R4_LHS_03,control,R4_LHS_03-control,V52_C_E4_C7_1T,Z,0.0229748434325621
R4_LHS_03,control,R4_LHS_03-control,V52_C_E5_C9_1T,X,0.012036506254154
R4_LHS_03,control,R4_LHS_03-control,V52_C_E5_C9_1T,Y,0.0412297646492269
R4_LHS_03,control,R4_LHS_03-control,V52_C_E5_C9_1T,Z,0.0305218356145365
R4_LHS_03,control,R4_LHS_03-control,V52_C_E6_C10_1T,X,0.0433345030129895
R4_LHS_03,control,R4_LHS_03-control,V52_C_E6_C10_1T,Y,0.0204216183806458
R4_LHS_03,control,R4_LHS_03-control,V52_C_E6_C10_1T,Z,0.0133098886594353
R4_LHS_03,control,R4_LHS_03-control,V52_C_E7_C11_2T,X,0.011583776158309
R4_LHS_03,control,R4_LHS_03-control,V52_C_E7_C11_2T,Y,0.0239432266761099
R4_LHS_03,control,R4_LHS_03-control,V52_C_E7_C11_2T,Z,0.0270521456409506
R4_LHS_03,control,R4_LHS_03-control,V52_C_E8_C12_2T,X,0.0812115038427859
R4_LHS_03,control,R4_LHS_03-control,V52_C_E8_C12_2T,Y,0.037222182675939
R4_LHS_03,control,R4_LHS_03-control,V52_C_E8_C12_2T,Z,0.0469270265776657
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C1_0T,X,0.3819923878453377
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C1_0T,Y,0.0228171677397597
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C1_0T,Z,0.0354964603879568
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C2_0T,X,0.0090404013545385
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C2_0T,Y,0.0457175689909722
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C2_0T,Z,0.0641828557423997
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C3_0T,X,0.2824886377266512
R4_LHS_03,physics,R4_LHS_03-physics,BASE_C3_0T,Y,0.0138120164583427
