route,family,seed,physics_run_id,control_run_id,axis,scope,control,physics,relative_change,noninferior_2pct
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Y,worst,0.07320463841318449,0.08616242474310382,0.1770077226088118,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,pooled,0.04475723647130988,0.0668410854836171,0.4934140432567442,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,P90,0.06732386991045615,0.08685414721435947,0.2900943948985626,False
R3,GRAPH_NEURAL_GALERKIN,20260811,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_PHYSICS_INFORMED_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,S8_FACTORIAL_R3_GRAPH_NEURAL_GALERKIN_DATA_ONLY_CONTROL_SEED_20260811_V2_NONCOMPENSATORY_CHECKPOINT,Z,worst,0.08456371304302958,0.09016503104095754,0.06623784358993046,False
R4,PORT_HAMILTONIAN_OPINF,20260810,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_REPAIRED_EFFECTIVE_PH_OPINF_REPAIRED_SEED_20260810_V3,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,pooled,0.09334919876330898,0.08561669156086621,-0.08283421073649366,True
R4,PORT_HAMILTONIAN_OPINF,20260810,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_REPAIRED_EFFECTIVE_PH_OPINF_REPAIRED_SEED_20260810_V3,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,P90,0.12256414177483949,0.10864748004098233,-0.11354594853218336,True
R4,PORT_HAMILTONIAN_OPINF,20260810,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_REPAIRED_EFFECTIVE_PH_OPINF_REPAIRED_SEED_20260810_V3,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,X,worst,0.1411670523628409,0.1266565486033758,-0.10278959230634666,True
R4,PORT_HAMILTONIAN_OPINF,20260810,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_REPAIRED_EFFECTIVE_PH_OPINF_REPAIRED_SEED_20260810_V3,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,pooled,0.0640498908471327,0.0625094439465635,-0.024050734204149715,True
R4,PORT_HAMILTONIAN_OPINF,20260810,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_REPAIRED_EFFECTIVE_PH_OPINF_REPAIRED_SEED_20260810_V3,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,P90,0.08151026901633084,0.09065040827783326,0.11213481898423328,False
R4,PORT_HAMILTONIAN_OPINF,20260810,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_PHYSICS_INFORMED_REPAIRED_EFFECTIVE_PH_OPINF_REPAIRED_SEED_20260810_V3,S8_FACTORIAL_R4_PORT_HAMILTONIAN_OPINF_DATA_ONLY_CONTROL_SEED_20260810_V2_NONCOMPENSATORY_CHECKPOINT,Y,worst,0.08246037612777374,0.09695538459170192,0.17578149827340006,False
