case_id,axis,reference_energy,error_energy,relative_l2,model,outer_fold
V40_B_E1_C4_2T,w,125.23906212013694,0.48731318331973345,0.06237839224305904,B2_COMMON_SPLIT,2
V40_B_E5_C9_1T,u,36.068433453793894,0.011848350608022818,0.01812446969698469,B2_COMMON_SPLIT,2
V40_B_E5_C9_1T,v,323.1573001266358,0.4615318349135044,0.037791475260520555,B2_COMMON_SPLIT,2
V40_B_E5_C9_1T,w,435.5897662895784,0.5683131196874234,0.03612060426290573,B2_COMMON_SPLIT,2
V40_CPLUS_E8_C12_2T,u,0.9246013713415984,0.013774145520262652,0.1220548571666246,B2_COMMON_SPLIT,2
V40_CPLUS_E8_C12_2T,v,585.3536351754274,0.6285916807528193,0.032769902904374495,B2_COMMON_SPLIT,2
V40_CPLUS_E8_C12_2T,w,228.36164208800716,0.8735809988188479,0.06185004372073598,B2_COMMON_SPLIT,2
V40_C_E1_C4_2T,u,0.6129947469888797,0.012408479014608668,0.14227575497493636,B2_COMMON_SPLIT,2
V40_C_E1_C4_2T,v,426.5740961534724,0.5903593923214017,0.03720154689810679,B2_COMMON_SPLIT,2
V40_C_E1_C4_2T,w,159.78814672822267,0.5738363921568265,0.059926893301353965,B2_COMMON_SPLIT,2
V52_A_E6_C10_1T,u,0.5977647511426746,0.004627253725161508,0.08798254206542065,B2_COMMON_SPLIT,2
V52_A_E6_C10_1T,v,279.47512117357064,0.1852023930205222,0.025742559215004315,B2_COMMON_SPLIT,2
V52_A_E6_C10_1T,w,412.8095902454073,0.2790268855624441,0.025998490718585315,B2_COMMON_SPLIT,2
V52_B_E2_C5_2T,u,35.312695808486396,0.008499216101155012,0.015514007576917755,B2_COMMON_SPLIT,2
V52_B_E2_C5_2T,v,291.0858019096518,0.37844869168013817,0.03605728252160692,B2_COMMON_SPLIT,2
V52_B_E2_C5_2T,w,104.28015561889643,0.38937308862710324,0.06110575729506123,B2_COMMON_SPLIT,2
V52_B_E7_C11_2T,u,35.32276280777879,0.009987885928969858,0.01681548718195398,B2_COMMON_SPLIT,2
V52_B_E7_C11_2T,v,291.0859144521177,0.39745213402993607,0.036951478606712405,B2_COMMON_SPLIT,2
V52_B_E7_C11_2T,w,104.28013277279874,0.3217024832230715,0.05554262727649337,B2_COMMON_SPLIT,2
V52_CPLUS_E3_C6_1T,u,2.055042437728964,0.014347637032798255,0.08355641405150271,B2_COMMON_SPLIT,2
V52_CPLUS_E3_C6_1T,v,366.2696640795151,0.744890587559186,0.04509680437261262,B2_COMMON_SPLIT,2
V52_CPLUS_E3_C6_1T,w,464.25742492585863,1.0337292545986847,0.047187174631846324,B2_COMMON_SPLIT,2
V52_CPLUS_E7_C11_2T,u,35.67519441959978,0.012056546432457831,0.0183835037168175,B2_COMMON_SPLIT,2
V52_CPLUS_E7_C11_2T,v,476.10523031848425,0.5048494308559717,0.0325633786483265,B2_COMMON_SPLIT,2
V52_CPLUS_E7_C11_2T,w,183.78387240481254,0.47337752701386804,0.050751644502119705,B2_COMMON_SPLIT,2
V52_C_E3_C6_1T,u,1.2823999065201597,0.011322001081015123,0.09396148181141556,B2_COMMON_SPLIT,2
